Model,RMSE,R²
LinearRegression,5.090288121298062,0.9924669070119788
RidgeCV,5.098954123572722,0.9924412356278929
LassoCV,5.2684252876032485,0.9919304326701847
HuberRegressor,5.303964366135939,0.9918211961335194
